time	V(n001)	V(n002)
2.707995026134761e-003	1.929989e+000	1.208093e+000
2.717760651134761e-003	1.889718e+000	1.168781e+000
2.727526276134761e-003	1.840969e+000	1.121231e+000
2.737291901134760e-003	1.784206e+000	1.065923e+000
2.747057526134760e-003	1.719970e+000	1.003418e+000
2.756823151134760e-003	1.648873e+000	9.343523e-001
2.766588776134760e-003	1.571593e+000	8.594395e-001
2.776354401134760e-003	1.488866e+000	7.794631e-001
2.795885651134759e-003	1.310270e+000	6.078077e-001
2.825182526134759e-003	1.022507e+000	3.363743e-001
2.834948151134758e-003	9.249231e-001	2.473149e-001
2.844713776134758e-003	8.280548e-001	1.625031e-001
2.854479401134758e-003	7.328252e-001	8.719181e-002
2.864245026134758e-003	6.401414e-001	3.258134e-002
2.874010651134757e-003	5.508868e-001	6.603878e-003
2.883776276134757e-003	4.659118e-001	4.506246e-004
2.893541901134757e-003	3.860263e-001	1.815070e-005
2.903307526134757e-003	3.119914e-001	8.478983e-007
2.913073151134757e-003	2.445127e-001	5.005301e-008
2.922838776134756e-003	1.842331e-001	3.925795e-009
2.932604401134756e-003	1.317271e-001	5.182751e-010
2.942370026134756e-003	8.749507e-002	1.437695e-010
2.952135651134756e-003	5.195842e-002	6.446960e-011
2.961901276134756e-003	2.545581e-002	3.015590e-011
2.971666901134755e-003	8.239799e-003	1.113275e-011
2.981432526134755e-003	4.744349e-004	2.922429e-012
2.991198151134755e-003	2.233716e-003	4.766990e-012
3.000963776134755e-003	1.350088e-002	1.679508e-011
3.010729401134755e-003	3.416856e-002	4.046877e-011
3.020495026134754e-003	6.403980e-002	8.449570e-011
3.030260651134754e-003	1.028300e-001	2.115833e-010
3.040026276134754e-003	1.501694e-001	1.002815e-009
3.049791901134754e-003	2.056070e-001	9.740918e-009
3.059557526134754e-003	2.686146e-001	1.382467e-007
3.069323151134753e-003	3.385916e-001	2.561784e-006
3.079088776134753e-003	4.148713e-001	5.903836e-005
3.088854401134753e-003	4.967268e-001	1.391296e-003
3.098620026134753e-003	5.833780e-001	1.300667e-002
3.108385651134752e-003	6.739993e-001	4.957928e-002
3.118151276134752e-003	7.677272e-001	1.133333e-001
3.127916901134752e-003	8.636684e-001	1.931368e-001
3.137682526134752e-003	9.609087e-001	2.798747e-001
3.166979401134751e-003	1.251149e+000	5.513670e-001
3.186510651134751e-003	1.434227e+000	7.267805e-001
3.196276276134751e-003	1.519987e+000	8.095183e-001
3.206041901134750e-003	1.600793e+000	8.877222e-001
3.215807526134750e-003	1.675873e+000	9.605647e-001
3.225573151134750e-003	1.744513e+000	1.027288e+000
3.235338776134750e-003	1.806058e+000	1.087208e+000
3.245104401134750e-003	1.859922e+000	1.139713e+000
3.254870026134749e-003	1.905592e+000	1.184273e+000
3.264635651134749e-003	1.942632e+000	1.220441e+000
3.274401276134749e-003	1.970690e+000	1.247852e+000
3.284166901134749e-003	1.989498e+000	1.266234e+000
3.293932526134749e-003	1.998877e+000	1.275402e+000
3.303698151134748e-003	1.998737e+000	1.275266e+000
3.313463776134748e-003	1.989081e+000	1.265826e+000
3.323229401134748e-003	1.969999e+000	1.247177e+000
3.332995026134748e-003	1.941674e+000	1.219504e+000
3.342760651134747e-003	1.904375e+000	1.183085e+000
3.352526276134747e-003	1.858458e+000	1.138286e+000
3.362291901134747e-003	1.804362e+000	1.085555e+000
3.372057526134747e-003	1.742600e+000	1.025428e+000
3.381823151134747e-003	1.673762e+000	9.585150e-001
3.391588776134746e-003	1.598503e+000	8.855048e-001
3.401354401134746e-003	1.517541e+000	8.071569e-001
3.420885651134746e-003	1.341641e+000	6.378389e-001
3.450182526134745e-003	1.055665e+000	3.671207e-001
3.459948151134745e-003	9.580500e-001	2.772628e-001
3.469713776134745e-003	8.608346e-001	1.906472e-001
3.479479401134745e-003	7.649453e-001	1.111763e-001
3.489245026134744e-003	6.712959e-001	4.809000e-002
3.499010651134744e-003	5.807788e-001	1.237733e-002
3.508776276134744e-003	4.942565e-001	1.277588e-003
3.518541901134744e-003	4.125535e-001	5.372223e-005
3.528307526134744e-003	3.364484e-001	2.343329e-006
3.538073151134743e-003	2.666664e-001	1.270210e-007
3.547838776134743e-003	2.038725e-001	8.881728e-009
