time	V(n001)	V(n002)	V(n003)
1.625892246639013e-003	4.764953e-001	1.184264e+000	4.917107e-001
1.635657871639013e-003	3.959164e-001	1.182705e+000	4.916338e-001
1.645423496639013e-003	3.210939e-001	1.181170e+000	4.915350e-001
1.655189121639013e-003	2.527409e-001	1.179656e+000	4.914159e-001
1.664954746639013e-003	1.915086e-001	1.178163e+000	4.912784e-001
1.674720371639013e-003	1.379805e-001	1.176688e+000	4.911236e-001
1.684485996639013e-003	9.266680e-002	1.175231e+000	4.909531e-001
1.694251621639013e-003	5.599920e-002	1.173789e+000	4.907679e-001
1.704017246639013e-003	2.832715e-002	1.172363e+000	4.905692e-001
1.713782871639013e-003	9.914330e-003	1.170952e+000	4.903578e-001
1.723548496639013e-003	9.362006e-004	1.169553e+000	4.901346e-001
1.733314121639013e-003	1.478316e-003	1.168167e+000	4.899004e-001
1.743079746639013e-003	1.153551e-002	1.166794e+000	4.896558e-001
1.752845371639013e-003	3.101195e-002	1.165431e+000	4.894016e-001
1.762610996639013e-003	5.972203e-002	1.164079e+000	4.891384e-001
1.772376621639013e-003	9.739219e-002	1.162737e+000	4.888667e-001
1.782142246639013e-003	1.436634e-001	1.161404e+000	4.885870e-001
1.791907871639013e-003	1.980949e-001	1.160081e+000	4.882997e-001
1.801673496639013e-003	2.601678e-001	1.158767e+000	4.880053e-001
1.811439121639013e-003	3.292907e-001	1.157460e+000	4.877042e-001
1.821204746639013e-003	4.048049e-001	1.156162e+000	4.873968e-001
1.830970371639013e-003	4.859908e-001	1.154871e+000	4.870833e-001
1.840735996639013e-003	5.720748e-001	1.153588e+000	4.867643e-001
1.860267246639013e-003	7.556169e-001	1.151041e+000	4.861102e-001
1.889564121639013e-003	1.046069e+000	1.147268e+000	4.850935e-001
1.918860996639013e-003	1.332595e+000	1.143547e+000	4.840394e-001
1.928626621639013e-003	1.422961e+000	1.142317e+000	4.836807e-001
1.938392246639013e-003	1.509296e+000	1.141092e+000	4.833186e-001
1.948157871639013e-003	1.590778e+000	1.139872e+000	4.829532e-001
1.957923496639013e-003	1.666630e+000	1.138658e+000	4.825847e-001
1.967689121639013e-003	1.736130e+000	1.137468e+000	4.822134e-001
1.977454746639012e-003	1.798616e+000	1.136450e+000	4.818396e-001
1.987220371639012e-003	1.853491e+000	1.136452e+000	4.814657e-001
1.996985996639012e-003	1.900233e+000	1.140018e+000	4.811020e-001
2.006751621639012e-003	1.938396e+000	1.150493e+000	4.807841e-001
2.016517246639012e-003	1.967618e+000	1.168073e+000	4.806079e-001
2.026282871639011e-003	1.987619e+000	1.188211e+000	4.807577e-001
2.036048496639011e-003	1.998209e+000	1.205493e+000	4.814533e-001
2.045814121639011e-003	1.999286e+000	1.217259e+000	4.827889e-001
2.055579746639011e-003	1.990841e+000	1.223467e+000	4.846116e-001
2.065345371639011e-003	1.972955e+000	1.225330e+000	4.865988e-001
2.075110996639010e-003	1.945796e+000	1.224438e+000	4.884586e-001
2.084876621639010e-003	1.909626e+000	1.222198e+000	4.900472e-001
2.094642246639010e-003	1.864787e+000	1.219534e+000	4.913486e-001
2.104407871639010e-003	1.811708e+000	1.216881e+000	4.924033e-001
2.114173496639009e-003	1.750893e+000	1.214368e+000	4.932600e-001
2.123939121639009e-003	1.682924e+000	1.212004e+000	4.939590e-001
2.133704746639009e-003	1.608446e+000	1.209767e+000	4.945302e-001
2.143470371639009e-003	1.528171e+000	1.207638e+000	4.949962e-001
2.153235996639009e-003	1.442862e+000	1.205598e+000	4.953741e-001
2.163001621639008e-003	1.353334e+000	1.203635e+000	4.956769e-001
2.172767246639008e-003	1.260438e+000	1.201738e+000	4.959152e-001
2.182532871639008e-003	1.165061e+000	1.199899e+000	4.960975e-001
2.192298496639008e-003	1.068111e+000	1.198110e+000	4.962308e-001
2.202064121639008e-003	9.705116e-001	1.196366e+000	4.963206e-001
2.211829746639007e-003	8.731934e-001	1.194663e+000	4.963719e-001
2.221595371639007e-003	7.770836e-001	1.192996e+000	4.963886e-001
2.231360996639007e-003	6.830980e-001	1.191361e+000	4.963744e-001
2.241126621639007e-003	5.921322e-001	1.189756e+000	4.963321e-001
2.250892246639007e-003	5.050529e-001	1.188178e+000	4.962643e-001
2.260657871639006e-003	4.226902e-001	1.186625e+000	4.961733e-001
2.270423496639006e-003	3.458287e-001	1.185094e+000	4.960611e-001
2.280189121639006e-003	2.752010e-001	1.183585e+000	4.959295e-001
2.289954746639006e-003	2.114799e-001	1.182095e+000	4.957800e-001
